ID_REF,GSM3446059,GSM3446060,GSM3446061,GSM3446062,GSM3446063,GSM3446064,GSM3446065,GSM3446066,GSM3446067,GSM3446068,GSM3446069,GSM3446070
A_19_P00316242,0.064055422,0.615609218,0.077638389,0.061239996,0.187750701,0.443827541,0.049920296,0.044198585,0.061490698,0.043406482,0.045336043,0.063492557
A_19_P00316257,0.112497621,0.236505198,0.071332147,0.089381403,0.175070936,1.122202817,0.162580372,0.080413136,0.241380477,0.096625715,0.099742087,0.068555057
A_19_P00316324,0.693887893,0.212141135,0.588578301,1.066918922,0.275452355,0.36778481,0.445561752,0.534951254,0.465925275,0.485662972,0.567932036,0.351691702
A_19_P00316326,0.052065023,0.210622622,0.115334217,0.049980287,0.153201986,0.930311683,0.040270818,0.035863821,0.050038127,0.032623139,0.037247903,0.068345265
A_19_P00316340,0.060276009,0.244670183,0.073768607,0.170789809,0.179605732,0.42213513,0.089252074,0.040808528,0.059619579,0.037174847,0.054220116,0.117985625
A_19_P00316344,0.515878777,0.296106959,0.340861438,0.419380097,0.41432851,0.503116172,0.596420479,0.429514815,0.504556173,0.806379758,0.453074594,0.522574727
A_19_P00316349,0.064473745,0.261024205,0.078606161,0.098844692,0.19392672,0.457353184,0.053170045,0.047659248,0.066410303,0.043706571,0.0499888,0.070127174
A_19_P00316361,0.065438378,0.263634869,0.079383584,0.062318054,0.195583423,0.453908088,0.048472066,0.0429111,0.059968097,0.039308987,0.04482587,0.063048782
A_19_P00316371,0.068561639,0.285132086,0.084121722,0.065979548,0.202657855,1.015154078,0.04920958,0.043973693,0.061894713,0.040704751,0.046286523,0.065781399
A_19_P00316375,0.124990418,0.291392692,0.135837404,0.268619827,0.361523065,0.547686206,0.219791074,0.30524361,0.210466672,0.177044558,0.353131666,0.095650346
A_19_P00316396,0.054313852,0.218522737,0.130736465,0.051687599,0.160068275,0.378758586,0.142274873,0.037168939,0.051751482,0.0337517,0.038611997,0.054056477
A_19_P00316415,0.200802203,0.295094431,0.239028343,0.366495045,0.218879311,0.508105012,0.205615054,0.24802114,0.138437548,0.080818607,0.357765704,0.294333508
A_19_P00316423,23.4596405,9.399546808,18.90858762,18.87695944,14.54547293,4.593078689,27.10411508,21.56838128,16.44684554,27.63909744,22.92825095,18.5215329
A_19_P00316427,0.086831902,0.290370581,0.086541444,0.202843123,0.207791349,0.493247964,0.068328516,0.085174826,0.067634765,0.043091774,0.049266592,0.145917144
A_19_P00316454,0.17877806,0.49052059,0.275925596,0.75519899,0.19742912,0.39506203,0.185371968,0.223662423,0.383993874,0.206534014,0.422345475,0.567045041
A_19_P00316467,0.065901609,0.264871073,0.080102085,0.063219621,0.241393645,0.45983867,0.050553087,0.044758537,0.062603829,0.048473014,0.046594992,0.065784495
A_19_P00316493,0.062889941,0.261808964,0.084490363,0.061928143,0.188000017,0.44183469,0.046549275,0.041396712,0.065592015,0.044706518,0.042950817,0.088829994
A_19_P00316497,0.074092509,0.281521908,0.124543704,0.066544101,0.201946423,1.313316557,0.081183244,0.044391603,0.062164007,0.042007042,0.13518116,0.129281935
A_19_P00316528,0.067590805,0.28110597,0.083531792,0.06647648,0.201347756,0.476204448,0.141433306,0.043714648,0.061133035,0.088206183,0.098092116,0.085190561
A_19_P00316533,0.312645596,1.161234532,0.367354334,0.295812701,1.219487863,1.805478787,0.158598442,0.353480589,0.395490515,0.167154326,0.476518457,0.42716161
A_19_P00316538,0.070986353,0.247827811,0.074791416,0.059359181,0.183710718,0.722292167,0.048468414,0.043189098,0.060485217,0.039729501,0.04515481,0.063685432
A_19_P00316544,0.061776288,0.254052418,0.075126099,0.059315222,0.18120778,0.431440226,0.047623993,0.042216974,0.058790331,0.037871377,0.043317224,0.060761656
A_19_P00316547,0.090954763,0.737945118,0.199426191,0.084772785,0.527204686,0.485277777,0.295958706,0.259991471,0.438844551,0.262662801,0.266246082,0.433698993
A_19_P00316557,0.073970652,0.282994732,0.083879734,0.066528628,0.202156556,0.482946439,0.060234861,0.045759402,0.064063912,0.04091571,0.046814784,0.067595331
A_19_P00316564,0.069706563,0.286787709,0.111696509,0.068805018,0.206634965,0.495405915,0.053316024,0.047992275,0.067550783,0.042855539,0.04898108,0.070397466
